Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,1072
design__instance__area,10364.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006730494205839932
power__switching__total,0.00032988909515552223
power__leakage__total,1.327901610892468E-8
power__total,0.0010029517579823732
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2623050462191409
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2632562853335427
timing__hold__ws__corner:nom_tt_025C_1v80,0.33580711384304934
timing__setup__ws__corner:nom_tt_025C_1v80,13.88769316632174
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.335807
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.050236
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,18
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2678483899378708
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2687623255575901
timing__hold__ws__corner:nom_ss_100C_1v60,0.9033053449801653
timing__setup__ws__corner:nom_ss_100C_1v60,12.026445957283723
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.903305
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,13.910458
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25955949235716896
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2605322697988576
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12415741008941847
timing__setup__ws__corner:nom_ff_n40C_1v95,14.560254747341544
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.124157
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.096188
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,18
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25867211882406504
clock__skew__worst_setup,0.25938596449351237
timing__hold__ws,0.12195117483248677
timing__setup__ws,11.986620035818015
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121951
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.868957
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 152.42 163.14
design__core__bbox,5.52 10.88 146.74 149.6
design__io,21
design__die__area,24865.8
design__core__area,19590
design__instance__count__stdcell,1072
design__instance__area__stdcell,10364.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.529092
design__instance__utilization__stdcell,0.529092
design__instance__count__class:inverter,7
design__instance__count__class:sequential_cell,187
design__instance__count__class:multi_input_combinational_cell,366
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1210
design__instance__count__class:tap_cell,265
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,19
design__io__hpwl,1022075
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16708.7
design__violations,0
design__instance__count__class:timing_repair_buffer,215
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,15
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,168
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,799
route__net__special,2
route__drc_errors__iter:1,248
route__wirelength__iter:1,20573
route__drc_errors__iter:2,79
route__wirelength__iter:2,20398
route__drc_errors__iter:3,49
route__wirelength__iter:3,20306
route__drc_errors__iter:4,0
route__wirelength__iter:4,20305
route__drc_errors,0
route__wirelength,20305
route__vias,5441
route__vias__singlecut,5441
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,291.3
timing__unannotated_net__count__corner:nom_tt_025C_1v80,15
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,15
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,15
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,14
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26110755963091303
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26180461317663795
timing__hold__ws__corner:min_tt_025C_1v80,0.33181497377819674
timing__setup__ws__corner:min_tt_025C_1v80,13.917827284597577
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.331815
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
